epoch,container,mem_bytes,mem_perc,cpu_perc,restarts
1788763072,event_collector,60020490,11.18,11.69,0
1788763072,scoring_engine,48538583,9.04,7.32,0
1788763072,config_service,41984983,7.82,0.13,0
1788763072,siem_api,63910707,11.90,4.58,0
1788763134,event_collector,60534292,11.28,10.00,0
1788763134,scoring_engine,48811212,9.09,6.55,0
1788763134,config_service,41984983,7.82,0.13,0
1788763134,siem_api,62694359,11.68,5.19,0
1788763197,event_collector,60607692,11.29,10.97,0
1788763197,scoring_engine,48727326,9.08,7.02,0
1788763197,config_service,41984983,7.82,0.11,0
1788763197,siem_api,63281561,11.79,2.63,0
1788763259,event_collector,59936604,11.16,11.24,0
1788763259,scoring_engine,48014295,8.94,7.15,0
1788763259,config_service,41984983,7.82,0.13,0
1788763259,siem_api,62935531,11.72,4.84,0
1788763321,event_collector,59936604,11.16,9.56,0
1788763321,scoring_engine,48402268,9.01,6.16,0
1788763321,config_service,41984983,7.82,0.11,0
1788763321,siem_api,63281561,11.79,7.11,0
1788763384,event_collector,59611545,11.10,9.49,0
1788763384,scoring_engine,48591011,9.05,6.16,0
1788763384,config_service,41984983,7.82,0.11,0
1788763384,siem_api,63082332,11.75,9.83,0
1788763446,event_collector,60177776,11.21,12.20,0
1788763446,scoring_engine,49398415,9.20,7.75,0
1788763446,config_service,41984983,7.82,0.13,0
1788763446,siem_api,63480791,11.82,3.38,0
1788763508,event_collector,59674460,11.11,11.10,0
1788763508,scoring_engine,48643440,9.06,6.76,0
1788763508,config_service,41974497,7.82,0.13,0
1788763508,siem_api,63365447,11.80,4.68,0
1788763571,event_collector,59894661,11.16,12.52,0
1788763571,scoring_engine,48748298,9.08,8.17,0
1788763571,config_service,41974497,7.82,0.23,0
1788763571,siem_api,63082332,11.75,3.81,0
1788763633,event_collector,59726888,11.13,9.60,0
1788763633,scoring_engine,48758784,9.08,6.00,0
1788763633,config_service,41974497,7.82,0.13,0
1788763633,siem_api,63858278,11.89,9.11,0
1788763696,event_collector,59643002,11.11,7.63,0
1788763696,scoring_engine,48517611,9.04,4.79,0
1788763696,config_service,41964011,7.82,0.11,0
1788763696,siem_api,64361594,11.99,6.84,0
1788763758,event_collector,59926118,11.16,11.47,0
1788763758,scoring_engine,48999956,9.13,7.82,0
1788763758,config_service,41964011,7.82,0.12,0
1788763758,siem_api,63774392,11.88,3.75,0
1788763820,event_collector,59810775,11.14,10.02,0
1788763820,scoring_engine,49062871,9.14,6.45,0
1788763820,config_service,41964011,7.82,0.10,0
1788763820,siem_api,62987960,11.73,3.27,0
1788763883,event_collector,59643002,11.11,14.59,0
1788763883,scoring_engine,48140124,8.97,7.27,0
1788763883,config_service,41964011,7.82,0.13,0
1788763883,siem_api,63134760,11.76,1.32,0
1788763945,event_collector,58562969,10.91,10.44,0
1788763945,scoring_engine,48674897,9.07,6.56,0
1788763945,config_service,41964011,7.82,0.11,0
1788763945,siem_api,63040389,11.74,7.92,0
1788764008,event_collector,59296972,11.04,9.56,0
1788764008,scoring_engine,48884613,9.11,6.13,0
1788764008,config_service,41964011,7.82,0.13,0
1788764008,siem_api,64948797,12.10,4.88,0
1788764070,event_collector,59999518,11.18,10.13,0
1788764070,scoring_engine,48475668,9.03,6.76,0
1788764070,config_service,41964011,7.82,0.10,0
1788764070,siem_api,64686653,12.05,5.94,0
1788764132,event_collector,60314091,11.24,12.63,0
1788764132,scoring_engine,49503272,9.22,7.39,0
1788764132,config_service,41953525,7.81,0.10,0
1788764132,siem_api,64959283,12.10,7.24,0
1788764195,event_collector,59559116,11.09,10.25,0
1788764195,scoring_engine,49503272,9.22,6.71,0
1788764195,config_service,41953525,7.81,0.10,0
1788764195,siem_api,65420656,12.19,5.39,0
1788764257,event_collector,59726888,11.12,9.91,0
1788764257,scoring_engine,49650073,9.25,5.13,0
1788764257,config_service,41953525,7.81,0.13,0
1788764257,siem_api,66395832,12.37,6.16,0
1788764319,event_collector,59412316,11.07,10.46,0
1788764319,scoring_engine,49765416,9.27,6.52,0
1788764319,config_service,41953525,7.81,0.11,0
1788764319,siem_api,65682800,12.23,7.47,0
1788764382,event_collector,59852718,11.15,10.42,0
1788764382,scoring_engine,49933189,9.30,6.34,0
1788764382,config_service,41943040,7.81,0.13,0
1788764382,siem_api,65137541,12.13,3.51,0
1788764444,event_collector,58416168,10.88,10.56,0
1788764444,scoring_engine,48486154,9.03,6.23,0
1788764444,config_service,41733324,7.77,0.12,0
1788764444,siem_api,65179484,12.14,9.77,0
1788764507,event_collector,57965281,10.80,10.64,0
1788764507,scoring_engine,48926556,9.11,6.94,0
1788764507,config_service,41691381,7.77,0.10,0
1788764507,siem_api,63438848,11.82,5.41,0
1788764569,event_collector,58594426,10.91,10.30,0
1788764569,scoring_engine,48779755,9.09,6.81,0
1788764569,config_service,41691381,7.77,0.10,0
1788764569,siem_api,63092817,11.75,3.40,0
1788764632,event_collector,59643002,11.11,12.29,0
1788764632,scoring_engine,48349839,9.01,7.74,0
1788764632,config_service,41691381,7.77,0.14,0
1788764632,siem_api,64256737,11.97,8.04,0
1788764694,event_collector,59076771,11.00,10.36,0
1788764694,scoring_engine,48570040,9.05,6.56,0
1788764694,config_service,41691381,7.77,0.12,0
1788764694,siem_api,63847792,11.89,4.30,0
1788764757,event_collector,58793656,10.95,10.02,0
1788764757,scoring_engine,48528097,9.04,6.35,0
1788764757,config_service,41691381,7.77,0.11,0
1788764757,siem_api,63648563,11.86,2.57,0
1788764819,event_collector,58961428,10.98,11.32,0
1788764819,scoring_engine,49136271,9.15,7.24,0
1788764819,config_service,41691381,7.77,0.11,0
1788764819,siem_api,64393052,11.99,3.77,0
1788764881,event_collector,59957575,11.17,9.46,0
1788764881,scoring_engine,48800727,9.09,5.92,0
1788764881,config_service,41691381,7.77,0.12,0
1788764881,siem_api,64749568,12.06,4.86,0
1788764944,event_collector,60104376,11.19,9.98,0
1788764944,scoring_engine,48978984,9.12,6.41,0
1788764944,config_service,41691381,7.77,0.12,0
1788764944,siem_api,63984107,11.92,10.21,0
1788765006,event_collector,60167290,11.21,10.05,0
1788765006,scoring_engine,48758784,9.08,6.35,0
1788765006,config_service,41691381,7.77,0.11,0
1788765006,siem_api,64099450,11.94,9.31,0
